Oily skin phenotype across the face, 22-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, frontal facial close-up, soft even studio lighting.
Oily skin phenotype across the face, 33-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, frontal facial close-up, diffused clinical lighting.
Oily skin phenotype across the face, 54-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, frontal facial close-up, balanced studio lighting.
Oily skin phenotype across the face, 18-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, frontal facial close-up, soft neutral lighting.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, frontal facial close-up, even frontal lighting.
Oily skin phenotype across the face, 42-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, frontal facial close-up, gentle studio illumination.
Oily skin phenotype across the face, 22-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, frontal facial close-up, clear clinical illumination.
Oily skin phenotype across the face, 33-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, frontal facial close-up, soft controlled lighting.
Oily skin phenotype across the face, 48-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, frontal facial close-up, uniform studio lighting.
Oily skin phenotype across the face, 18-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, frontal facial close-up, neutral soft lighting.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, frontal facial close-up, consistent frontal lighting.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, frontal facial close-up, diffused softbox lighting.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, frontal facial close-up, subtle even illumination.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, frontal facial close-up, natural-looking studio lighting.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, frontal facial close-up, clean clinical lighting.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, straight-on facial portrait, soft even studio lighting.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, straight-on facial portrait, diffused clinical lighting.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, straight-on facial portrait, balanced studio lighting.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, straight-on facial portrait, soft neutral lighting.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, straight-on facial portrait, even frontal lighting.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type I skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, straight-on facial portrait, gentle studio illumination.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type II skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, straight-on facial portrait, clear clinical illumination.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, straight-on facial portrait, soft controlled lighting.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type IV skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, straight-on facial portrait, uniform studio lighting.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type V skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, straight-on facial portrait, neutral soft lighting.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type VI skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, straight-on facial portrait, consistent frontal lighting.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type I skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, straight-on facial portrait, diffused softbox lighting.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type II skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, straight-on facial portrait, subtle even illumination.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, straight-on facial portrait, natural-looking studio lighting.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type IV skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, straight-on facial portrait, clean clinical lighting.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, centered facial close-up, soft even studio lighting.
Oily skin phenotype on the t-zone, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, centered facial close-up, diffused clinical lighting.
Oily skin phenotype on the cheeks, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, centered facial close-up, balanced studio lighting.
Oily skin phenotype across the forehead and cheeks, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, centered facial close-up, soft neutral lighting.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, centered facial close-up, even frontal lighting.
Oily skin phenotype on the cheeks and chin, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, centered facial close-up, gentle studio illumination.
Oily skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, centered facial close-up, clear clinical illumination.
Oily skin phenotype on the t-zone, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, centered facial close-up, soft controlled lighting.
Oily skin phenotype on the cheeks, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, centered facial close-up, uniform studio lighting.
Oily skin phenotype across the forehead and cheeks, 32-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, centered facial close-up, neutral soft lighting.
